PolicyRef,Agent Code,InceptionDate,ProductClass,syspolicytype,Claim,Claim Dates
10002TQZS,OQ76CG,01-Aug-22,Infra,OM,149123.856,22-Sep-22
10010OYPP,MH88KO,01-Oct-22,Retail,OM,149822.106,22-Oct-22
10020HIBG,PJ82UD,01-Jan-22,Casualty,ELT,162926.0976,04-Feb-22
10032ARZU,ZE69JG,18-Jun-21,Property,OM,48098.253,22-Jul-21
10043RFUJ,EQ66XA,14-Mar-21,Non Marine,OM,20830.9584,21-Jul-21
10057KBFO,IU75CF,01-Jan-22,Casualty,OM,65554.0032,20-Mar-22
10070BPMG,TI87NG,01-Apr-21,Infra,OM,179352.5538,27-Nov-21
10088TMKU,DE76BP,01-Jul-21,Property,OM,141024.9792,15-Sep-21
10092FURR,YQ84EP,30-Jun-21,Infra,OM,85450.6296,09-Dec-21
10103YVVG,SS68JG,19-Nov-21,Non Marine,OM,119757.078,29-Mar-22
10134IEGI,XH90XJ,01-Jan-21,Property,OM,166634.6136,22-Feb-21
10152HCXO,LK71GL,01-Jan-22,Infra,ELT,34108.2336,29-Mar-22
10152SFUN,PX87ZF,01-Jan-22,Energy,OM,154165.3288,24-Feb-22
10162MXRV,IL83HZ,20-Oct-22,Property,OM,90222.328,05-Nov-22
10191EWQC,ES72NU,01-Jan-22,Property,OM,183319.584,18-Feb-22
10216LFDK,PJ82UD,01-Jan-21,Non Marine,ELT,51632.6328,15-Mar-21
10236SRMW,CN90FY,28-Jan-21,Property,OM,124756.1952,02-Jul-21
10277MNOA,PJ82UD,01-Jan-21,Casualty,ELT,148639.5792,29-Aug-21
10284KNYF,YR79TK,01-Jan-21,Non Marine,OM,50129.891,19-Jul-21
10285FUJF,RP72WX,15-Nov-21,Energy,OM,27250.7326,01-Jun-22
10330OQLZ,HV79RQ,01-Oct-21,Non Marine,OM,125803.678,20-Mar-22
10364ITOA,ME74GU,01-Jun-21,Retail,OM,182817.4908,07-Nov-21
10390BGMT,VA83CJ,01-Nov-21,Non Marine,OM,131791.429,07-Mar-22
